Front;Back
"<b>Kernidee</b>: Beweis \(\mathbb{C}\cong\mathbb{R}[X]/(X^2+1)\)?";"Auswertung \(\mathrm{ev}_i\colon\mathbb{R}[X]\to\mathbb{C},\ P\mapsto P(i)\), surjektiv, Kern \(=(X^2+1)\); Homomorphiesatz.<br><i>(Kap. 5)</i>"
"Satz von der Matrixdarstellung: \(a+bi\leftrightarrow\)?";"\(\begin{psmallmatrix}a&-b\\b&a\end{psmallmatrix}\); Addition/Multiplikation in \(\mathbb{C}\) = Matrixaddition/-multiplikation. \(\det=|z|^2\).<br><i>(Kap. 5)</i>"
"<b>Fundamentalsatz der Algebra</b>?";"\(\mathbb{C}\) ist algebraisch abgeschlossen: jedes nicht-konstante \(P\in\mathbb{C}[X]\) zerfällt in Linearfaktoren.<br><i>(Kap. 5)</i>"
"<b>Euler-Formel</b>?";"\(e^{ix}=\cos x+i\sin x\) (\(x\in\mathbb{R}\)); insbesondere \(e^{i\pi}+1=0\), \(e^{2\pi i}=1\).<br><i>(Kap. 5)</i>"
"<b>Kernidee</b>: Beweis der Euler-Formel?";"\(e^{ix}=\sum\frac{(ix)^n}{n!}\), nach geraden/ungeraden \(n\) spalten (\(i^{2k}=(-1)^k\), \(i^{2k+1}=i(-1)^k\)) \(\Rightarrow\cos x+i\sin x\).<br><i>(Kap. 5)</i>"
"<b>Kernidee</b>: Additionstheoreme aus Euler?";"\(\cos(x+y)+i\sin(x+y)=e^{i(x+y)}=e^{ix}e^{iy}\); Real-/Imaginärteil vergleichen.<br><i>(Kap. 5)</i>"
"Multiplikation in Polarform (de Moivre)?";"\(re^{i\alpha}\cdot se^{i\beta}=rs\,e^{i(\alpha+\beta)}\); \(z^n=r^n e^{in\alpha}\).<br>(Winkel addieren, Beträge multiplizieren.)<br><i>(Kap. 5)</i>"
"Funktionalgleichung von \(\exp\)?";"\(\exp(z+w)=\exp(z)\exp(w)\); daraus \(|e^{ix}|=1\).<br><i>(Kap. 5)</i>"
"<b>Algorithmus</b>: \(n\)-te Wurzeln von \(z=re^{i\alpha}\)?";"\(w_k=r^{1/n}\exp\!\big(i\frac{\alpha+2\pi k}{n}\big)\), \(k=0,\dots,n-1\) — <b>\(n\)</b> Stück, gleichverteilt auf einem Kreis.<br><i>(Kap. 5)</i>"
"<b>Anwendung</b>: Wofür stehen komplexe Zahlen typischerweise?";"Drehungen und Schwingungen: Wechselstrom, Quantenmechanik, Signalverarbeitung (Fourier).<br><i>(Kap. 5)</i>"
"Beispiel: \((1+i)^2\)?";"\((1+i)^2=1+2i+i^2=2i\).<br><i>(Kap. 5)</i>"
"Beispiel: Polarform von \(1+i\)?";"\(1+i=\sqrt2\,e^{i\pi/4}\); damit \((1+i)^8=16\).<br><i>(Kap. 5)</i>"
"Beispiel: dritte Einheitswurzeln (\(w^3=1\))?";"\(e^{2\pi ik/3}\), \(k=0,1,2\): \(1,\ -\tfrac12+\tfrac{\sqrt3}{2}i,\ -\tfrac12-\tfrac{\sqrt3}{2}i\) (gleichseitiges Dreieck).<br><i>(Kap. 5)</i>"
"<b>Gegenbeispiel/Fakt</b>: Ist \(\mathbb{C}\) anordbar?";"Nein. In einer Ordnung wären Quadrate \(\ge0\), also \(i^2=-1\ge0\) und \(1\ge0\), Summe \(0\ge0\) plus \(-1\) — Widerspruch.<br><i>(Kap. 5)</i>"
"<b>Fehler</b>: Ist die Konjugation \(\mathbb{C}\)-linear?";"Nein, nur \(\mathbb{R}\)-linear (<b>konjugiert-linear</b>): \(\overline{iz}=-i\bar z\neq i\bar z\).<br>Deshalb Sesquilinearformen.<br><i>(Kap. 5)</i>"
"<b>Fehler</b>: Warum \(r>0\) statt \(r\ge0\) in der Polarform?";"Bei \(r=0\) (also \(z=0\)) ist der Winkel \(\alpha\) unbestimmt — keine Eindeutigkeit.<br><i>(Kap. 5)</i>"
"<b>Fehler</b>: Gilt \(\sqrt{zw}=\sqrt z\sqrt w\) über \(\mathbb{C}\)?";"Nein! \(\sqrt{(-1)(-1)}=1\), aber \(\sqrt{-1}\sqrt{-1}=i\cdot i=-1\). Wurzeln sind mehrdeutig.<br><i>(Kap. 5)</i>"
"<b>Fehler</b>: Wie viele \(n\)-te Wurzeln hat \(z\neq0\)?";"Genau \(n\) — nicht nur eine! (\(+\frac{2\pi k}{n}\) nicht vergessen.)<br><i>(Kap. 5)</i>"
"<b>Vergleich</b>: \(\mathbb{R}\) vs. \(\mathbb{C}\) (zentrale Unterschiede)?";"\(\mathbb{C}\): algebraisch abgeschlossen, <b>nicht</b> anordbar, \(\chi_f\) zerfällt immer, JNF existiert immer, Skalarprodukt = hermitesch.<br><i>(Kap. 5)</i>"
"<b>Transfer</b>: Aufgabe Löse \(w^n=z\). Strategie?";"\(z\) in Polarform \(re^{i\alpha}\); \(w_k=r^{1/n}e^{i(\alpha+2\pi k)/n}\), \(k=0,\dots,n-1\).<br><i>(Kap. 5)</i>"
"<b>Transfer</b>: Warum ist über \(\mathbb{C}\) jede Matrix trigonalisierbar?";"Fundamentalsatz \(\Rightarrow\chi_A\) zerfällt \(\Rightarrow\) trigonalisierbar (Kap. 2) / JNF existiert.<br><i>(Kap. 5)</i>"
"<b>Verbindung</b>: Wofür braucht Kapitel 8 die Konjugation?";"Für die adjungierte Matrix \(A^*=\bar A^{\mathsf T}\) und den ganzen unitären Apparat (normale Operatoren, Spektralsatz).<br><i>(Kap. 5)</i>"
"Was ist eine <b>Bilinearform</b>, wann <b>symmetrisch</b>?";"\(s\colon V\times V\to k\), linear in beiden Argumenten. Symmetrisch: \(s(v,w)=s(w,v)\).<br><i>(Kap. 6)</i>"
"Was ist eine <b>Sesquilinearform</b> (Konvention dieses Skripts)?";"\(s\colon V\times V\to\mathbb{C}\), linear im <b>1.</b>, konjugiert-linear im <b>2.</b> Argument: \(s(v,aw)=\bar a\,s(v,w)\).<br><i>(Kap. 6)</i>"
"Wann ist eine Sesquilinearform <b>hermitesch</b>?";"\(s(v,w)=\overline{s(w,v)}\); dann ist \(s(v,v)\in\mathbb{R}\).<br><i>(Kap. 6)</i>"
"Wann heißt eine Form <b>positiv definit</b>?";"\(s(v,v)>0\) für alle \(v\neq0\) (symmetrisch/hermitesch).<br><i>(Kap. 6)</i>"
"Was ist ein <b>Skalarprodukt</b>?";"Positiv definite symmetrische Bilinearform (reell) bzw. positiv definite hermitesche Sesquilinearform (komplex). Schreibweise \(\langle v,w\rangle\).<br><i>(Kap. 6)</i>"
"Was ist ein <b>euklidischer</b> bzw. <b>unitärer</b> Vektorraum?";"\(\mathbb{R}\)-VR mit Skalarprodukt (euklidisch) bzw. \(\mathbb{C}\)-VR mit Skalarprodukt (unitär).<br><i>(Kap. 6)</i>"
"Was ist eine <b>Norm</b> (N1–N3)?";"\(\|av\|=|a|\|v\|\); \(\|v+w\|\le\|v\|+\|w\|\); \(\|v\|=0\Leftrightarrow v=0\).<br><i>(Kap. 6)</i>"
"Was ist eine <b>Metrik</b> (M1–M3)?";"\(d(x,y)=d(y,x)\); \(d(x,z)\le d(x,y)+d(y,z)\); \(d(x,y)=0\Leftrightarrow x=y\).<br><i>(Kap. 6)</i>"
"Induzierte Norm und Metrik aus einem Skalarprodukt?";"\(\|v\|=\sqrt{\langle v,v\rangle}\); \(d(v,w)=\|v-w\|\).<br><i>(Kap. 6)</i>"
"Definition <b>Winkel</b> (euklidisch)?";"\(\angle(v,w)=\arccos\!\big(\frac{\langle v,w\rangle}{\|v\|\|w\|}\big)\in[0,\pi]\).<br><i>(Kap. 6)</i>"
"<b>Motivation</b>: Was fügt ein Skalarprodukt hinzu?";"<b>Geometrie</b>: Länge, Abstand, Winkel, Orthogonalität, Bestapproximation — Dinge, die reine LinA nicht messen kann.<br><i>(Kap. 6)</i>"
"<b>Warum</b> scheitert eine Bilinearform als Skalarprodukt über \(\mathbb{C}\)?";"\(\sum x_iy_i\) liefert \(\langle(i,0),(i,0)\rangle=i^2=-1<0\) — negative Länge². Lösung: Sesquilinearität \(\sum x_i\overline{y_i}\).<br><i>(Kap. 6)</i>"
"<b>Intuition</b>: Was misst \(\langle v,w\rangle\)?";"Die Ausrichtung der Vektoren; \(\langle v,vangle=\|v\|^2\) ist das Längenquadrat; \(=0\) heißt senkrecht.<br><i>(Kap. 6)</i>"
"<b>Was induziert was</b> (Struktur-Hierarchie)?";"Skalarprodukt \(\to\) Norm \(\to\) Metrik \(\to\) Topologie — <b>einseitig</b> kanonisch; Rückwege nur mit Zusatzbedingung.<br><i>(Kap. 6)</i>"
"<b>Wann</b> kommt eine Norm von einem Skalarprodukt?";"Genau wenn sie die <b>Parallelogrammgleichung</b> erfüllt (Jordan–von Neumann).<br><i>(Kap. 6)</i>"
"<b>Wann</b> kommt eine Metrik von einer Norm?";"Genau wenn sie <b>translationsinvariant</b> und <b>homogen</b> ist: \(d(v+u,w+u)=d(v,w)\), \(d(av,aw)=|a|d(v,w)\).<br><i>(Kap. 6)</i>"
"Matrixkriterium: Wann ist \((x,y)\mapsto x^{\mathsf T}A\bar y\) hermitesch?";"\(\Leftrightarrow A^*=\bar A^{\mathsf T}=A\). (Reell: symmetrisch \(A^{\mathsf T}=A\).)<br><i>(Kap. 6)</i>"
"Eigenschaft: \(\langle v,v\rangle\) bei hermitescher Form?";"Reell (denn \(s(v,v)=\overline{s(v,v)}\)); bei positiv definit sogar \(>0\) für \(v\neq0\).<br><i>(Kap. 6)</i>"
"Lemma: Vorzeichen von \(\|v\|\) und \(d(x,y)\)?";"\(\|v\|\ge0\) und \(d(x,y)\ge0\) (folgt aus den Axiomen).<br><i>(Kap. 6)</i>"
"<b>Cauchy-Schwarz-Ungleichung</b>?";"\(|\langle v,w\rangle|\le\|v\|\,\|w\|\), Gleichheit \(\Leftrightarrow v,w\) linear abhängig.<br><i>(Kap. 6)</i>"
"<b>Kernidee</b>: Beweis Cauchy-Schwarz?";"\(0\le\langle v-aw,v-aw\rangle\) mit \(a=\dfrac{\langle v,w\rangle}{\langle w,w\rangle}\) \(\Rightarrow|\langle v,w\rangle|^2\le\langle v,v\rangle\langle w,w\rangle\).<br><i>(Kap. 6)</i>"
"Satz: Ist \(\|v\|=\sqrt{\langle v,v\rangle}\) eine Norm?";"Ja (N1–N3); die Dreiecksungleichung (N2) folgt aus Cauchy-Schwarz.<br><i>(Kap. 6)</i>"
"<b>Kernidee</b>: Dreiecksungleichung der induzierten Norm?";"\(\|v+w\|^2=\|v\|^2+\|w\|^2+2\mathrm{Re}\langle v,w\rangle\le(\|v\|+\|w\|)^2\) via \(\mathrm{Re}\langle v,w\rangle\le|\langle v,w\rangle|\le\|v\|\|w\|\).<br><i>(Kap. 6)</i>"
"<b>Algorithmus</b>: Wie prüft man, ob \(A\) ein Skalarprodukt liefert?";"Symmetrisch/hermitesch (\(A^*=A\)) <b>und</b> positiv definit (alle Eigenwerte \(>0\) bzw. alle führenden Hauptminoren \(>0\)).<br><i>(Kap. 6)</i>"
"<b>Anwendung</b>: Wofür braucht man Skalarprodukte?";"Kleinste Quadrate (Regression), Fourier-Analyse, Quantenmechanik (Hilberträume), Optimierung.<br><i>(Kap. 6)</i>"
"Beispiel: Standardskalarprodukt auf \(\mathbb{R}^n\) und \(\mathbb{C}^n\)?";"\(\langle x,y\rangle=\sum x_iy_i\) (reell) bzw. \(\sum x_i\overline{y_i}\) (komplex).<br><i>(Kap. 6)</i>"
"Beispiel: Skalarprodukt auf \(C([0,1])\)?";"\(\langle f,g\rangle=\int_0^1 f(t)g(t)\,dt\) — unendlichdim. euklidischer Raum (Fourier-Grundlage).<br><i>(Kap. 6)</i>"
"<b>Gegenbeispiel</b>: Bilinearform über \(\mathbb{C}\)?";"\(\sum x_iy_i\) (ohne Konjugation): \(\langle(i,0),(i,0)\rangle=-1<0\) — nicht positiv definit.<br><i>(Kap. 6)</i>"
"<b>Gegenbeispiel</b>: symmetrisch, aber kein Skalarprodukt?";"Minkowski-Form \(x_1y_1-x_2y_2\): \(s((0,1),(0,1))=-1<0\) — indefinit.<br><i>(Kap. 6)</i>"
"<b>Gegenbeispiel</b>: Norm ohne Skalarprodukt?";"\(\|x\|_1=\sum|x_i|\) und \(\|x\|_\infty=\max|x_i|\) — verletzen die Parallelogrammgleichung.<br><i>(Kap. 6)</i>"
"<b>Gegenbeispiel</b>: Metrik ohne Norm?";"Diskrete Metrik \(d(x,y)=1\) für \(x\neq y\) — nicht homogen.<br><i>(Kap. 6)</i>"
"<b>Fehler</b>: Häufiger Fehler bei komplexen Skalarprodukten?";"Konjugation im 2. Argument vergessen — sonst kann \(\langle v,v\rangle\) negativ/komplex werden.<br><i>(Kap. 6)</i>"
"<b>Fehler</b>: Reicht Symmetrie für ein Skalarprodukt?";"Nein — <b>positive Definitheit</b> muss extra bewiesen werden.<br><i>(Kap. 6)</i>"
"<b>Klausurfalle</b>: Winkelformel im unitären Fall?";"\(\langle v,w\rangle\) ist dann komplex, \(\arccos\) undefiniert. Direkt nur euklidisch; sonst \(\mathrm{Re}\) oder \(|\cdot|\).<br><i>(Kap. 6)</i>"
"<b>Vergleich</b>: Bilinearform vs. Sesquilinearform?";"Bilinear: linear in beiden, symmetrisch \(A^{\mathsf T}=A\).<br>Sesquilinear: konjugiert-linear im 2. Arg., hermitesch \(A^*=A\).<br><i>(Kap. 6)</i>"
"<b>Transfer</b>: Aufgabe Zeigen Sie, dass \(\langle\cdot,\cdotangle\) ein Skalarprodukt ist. Was prüfen?";"(1) (Sesqui-)Bilinearität, (2) Symmetrie/Hermitizität, (3) positive Definitheit \(\langle v,v\rangle>0\) für \(v\neq0\).<br><i>(Kap. 6)</i>"
"<b>Transfer</b>: \(\|\cdot\|_1\) — kommt sie von einem Skalarprodukt? Wie prüfen?";"Parallelogrammgleichung testen; \(\|\cdot\|_1\) verletzt sie \(\Rightarrow\) nein.<br><i>(Kap. 6)</i>"
"<b>Verbindung</b>: Wofür ist Cauchy-Schwarz die Grundlage?";"Dreiecksungleichung der Norm und Wohldefiniertheit des Winkels (\(\arccos\)-Argument in \([-1,1]\)).<br><i>(Kap. 6)</i>"
"Wann sind \(v,w\) <b>orthogonal</b>?";"\(v\perp w\ :\Leftrightarrow\ \langle v,w\rangle=0\) (symmetrisch: \(v\perp w\Leftrightarrow w\perp v\)).<br><i>(Kap. 7)</i>"
"Wann ist eine Menge <b>orthonormal</b>?";"Paarweise orthogonal, \(0\notin M\), und \(\|v\|=1\) für alle \(v\in M\).<br><i>(Kap. 7)</i>"
"Was ist eine <b>Orthonormalbasis</b> (ONB)?";"Eine Basis, die orthonormal ist (\(\langle b_i,b_j\rangle=\delta_{ij}\)).<br><i>(Kap. 7)</i>"
"Was ist das <b>orthogonale Komplement</b> \(M^\perp\)?";"\(M^\perp=\{w\mid w\perp v\ \forall v\in M\}\) — stets ein Unterraum; \(M^\perp=\bigcap_i v_i^\perp\) für \(M=\mathrm{span}(v_i)\).<br><i>(Kap. 7)</i>"
"Was ist die <b>orthogonale Projektion</b> \(\Pi_U\)?";"\(\Pi_U(u+u')=u\) für \(u\in U\), \(u'\in U^\perp\) (nutzt \(V=U\oplus U^\perp\)); \(\ker\Pi_U=U^\perp\).<br><i>(Kap. 7)</i>"
"<b>Motivation</b>: Warum sind Orthonormalbasen so praktisch?";"Koordinaten sind <b>einfach Skalarprodukte</b>: \(v=\sum\langle v,b_i\rangle b_i\), \(\|v\|^2=\sum|\langle v,b_i\rangle|^2\) — keine Matrixinversion.<br><i>(Kap. 7)</i>"
"<b>Motivation</b>: Welches Problem löst die orthogonale Projektion?";"Bestapproximation / kleinste Quadrate: nächster Punkt eines Unterraums \(U\) zu \(v\).<br><i>(Kap. 7)</i>"
"<b>Intuition</b>: Was bedeutet \(v\perp w\)?";"\(v\) hat keine Komponente in Richtung \(w\) — Unabhängigkeit in Reinform.<br><i>(Kap. 7)</i>"
"<b>Intuition</b>: Was ist die orthogonale Projektion geometrisch?";"Lot von \(v\) auf \(U\) fällen; \(\Pi_U(v)\) ist der Fußpunkt, der Fehler \(v-\Pi_U(v)\) steht senkrecht auf \(U\).<br><i>(Kap. 7)</i>"
"<b>Intuition</b>: Was tut Gram-Schmidt anschaulich?";"Eine schiefe Basis geraderücken: bei jedem Vektor den schon abgedeckten Anteil (Projektion) abziehen, dann normieren.<br><i>(Kap. 7)</i>"
"Satz <b>Längenformel</b> und <b>Pythagoras</b>?";"\(\|v+w\|^2=\|v\|^2+\|w\|^2+2\mathrm{Re}\langle v,w\rangle\); bei \(v\perp w\): \(\|v+w\|^2=\|v\|^2+\|w\|^2\).<br><i>(Kap. 7)</i>"
"Satz <b>Parallelogrammgleichung</b>?";"\(\|v+w\|^2+\|v-w\|^2=2\|v\|^2+2\|w\|^2\).<br>Charakterisiert Skalarprodukt-Normen.<br><i>(Kap. 7)</i>"
"Satz des <b>Thales</b> (Voraussetzung)?";"Euklidisch, \(\|v\|=\|w\|\Rightarrow(v+w)\perp(v-w)\).<br><b>Nur euklidisch</b> (Beweis nutzt \(\langle v,w\rangle=\langle w,v\rangle\)).<br><i>(Kap. 7)</i>"
"Lemma: Orthogonale Menge (ohne \(0\)) und lineare Unabhängigkeit?";"Ist <b>linear unabhängig</b>.<br><i>(Kap. 7)</i>"
"<b>Kernidee</b>: Beweis orthogonal \(\Rightarrow\) linear unabhängig?";"Aus \(\sum a_iv_i=0\) folgt \(\langle\cdot,v_j\rangle\): \(a_j\langle v_j,v_j\rangle=0\), \(v_j\neq0\Rightarrow a_j=0\).<br><i>(Kap. 7)</i>"
"Satz <b>orthogonale Zerlegung</b> \(V=U\oplus U^\perp\) (Voraussetzung)?";"Gilt für endlichdimensionales \(U\).<br><i>(Kap. 7)</i>"
"<b>Kernidee</b>: Beweis \(V=U\oplus U^\perp\)?";"\(U\cap U^\perp=\{0\}\) (pos. def.); ONB \(\{b_i\}\) von \(U\), setze \(u=\sum\langle v,b_i\rangle b_i\), dann \(v-u\in U^\perp\).<br><i>(Kap. 7)</i>"
"Satz <b>Bestapproximation</b>?";"Für alle \(u\in U\): \(\|v-u\|\ge\|v-\Pi_U(v)\|\), Gleichheit \(\Leftrightarrow u=\Pi_U(v)\); \(\Pi_U(v)\) ist der eindeutige nächste Punkt.<br><i>(Kap. 7)</i>"
"<b>Kernidee</b>: Beweis der Bestapproximation?";"\(v-u=(v-\Pi_U(v))+(\Pi_U(v)-u)\), Summanden \(\perp\); Pythagoras: \(\|v-u\|^2=\|v-\Pi_U(v)\|^2+\|\Pi_U(v)-u\|^2\ge\dots\).<br><i>(Kap. 7)</i>"
"Lemma <b>Projektionsformel</b> via ONB?";"ONB \(\{b_i\}\) von \(U\): \(\Pi_U(v)=\sum_i\langle v,b_i\rangle b_i\).<br><i>(Kap. 7)</i>"
"Satz <b>Gram-Schmidt</b> (Aussage)?";"Aus Basis \(\{b_i\}\) entsteht ONB \(\{b_i'\}\) mit \(\mathrm{span}(b_1',\dots,b_j')=\mathrm{span}(b_1,\dots,b_j)\) für alle \(j\).<br><i>(Kap. 7)</i>"
"<b>Kernidee</b>: Gram-Schmidt-Konstruktion?";"\(w_j=b_j-\sum_{i<j}\langle b_j,b_i'\rangle b_i'\) (Projektion abziehen), \(b_j'=w_j/\|w_j\|\); \(w_j\neq0\), da \(b_j\notin\mathrm{span}(b_1,\dots,b_{j-1})\).<br><i>(Kap. 7)</i>"
"<b>Algorithmus</b> Gram-Schmidt (Ablauf)?";"<ul><li>\(b_1'=b_1/\|b_1\|\)</li><li>\(w=b_j-\sum_{i<j}\langle b_j,b_i'\rangle b_i'\)</li><li>\(b_j'=w/\|w\|\)</li></ul>Voraussetzung: Eingabe linear unabhängig.<br><i>(Kap. 7)</i>"
"<b>Laufzeit</b> Gram-Schmidt?";"\(O(n^2d)\) Operationen (\(n\) Vektoren, je \(O(n)\) Projektionen à \(O(d)\)).<br><i>(Kap. 7)</i>"
"<b>Anwendung</b>: Wofür braucht man Gram-Schmidt / Projektion?";"ONB konstruieren, QR-Zerlegung, kleinste Quadrate (Regression = Projektion auf Spaltenraum), Fourier-Partialsummen.<br><i>(Kap. 7)</i>"
"Beispiel: Projektion von \(v\) auf \(U=\mathrm{span}\{(1,1,0)\}\), \(v=(2,0,3)\)?";"ONB \(b_1=\tfrac{1}{\sqrt2}(1,1,0)\); \(\langle v,b_1\rangle=\sqrt2\); \(\Pi_U(v)=(1,1,0)\); Abstand \(\sqrt{11}\).<br><i>(Kap. 7)</i>"
"<b>Gegenbeispiel</b>: orthogonal, aber nicht orthonormal?";"\(\{(2,0),(0,3)\}\): Projektionsformel \(\sum\langle v,b_i\rangle b_i\) gilt so <b>nicht</b> (durch \(\|b_i\|^2\) teilen).<br><i>(Kap. 7)</i>"
"<b>Gegenbeispiel</b>: \(V=U\oplus U^\perp\) scheitert?";"In \(\ell^2\) mit \(U=\) Folgen mit endlichem Träger: \(U^\perp=\{0\}\), also \(U\oplus U^\perp\neq V\). \(U\) nicht endlichdim.<br><i>(Kap. 7)</i>"
"<b>Gegenbeispiel</b>: Gram-Schmidt bricht ab?";"Bei linear abhängiger Eingabe: \(w_j=0\), Division durch \(\|w_j\|=0\).<br><i>(Kap. 7)</i>"
"<b>Fehler</b>: Projektionsformel mit nicht-orthonormaler Basis?";"\(\sum\langle v,b_i\rangle b_i\) gilt nur für <b>ONB</b>; sonst erst normieren oder durch \(\|b_i\|^2\) teilen.<br><i>(Kap. 7)</i>"
"<b>Fehler</b>: Bei Gram-Schmidt nur den letzten Anteil abziehen?";"Falsch — man muss <b>alle</b> \(b_i'\) mit \(i<j\) abziehen.<br><i>(Kap. 7)</i>"
"<b>Vergleich</b>: Basis vs. Orthogonalbasis vs. ONB?";"Basis: Projektionsformel braucht LGS.<br>Orthogonalbasis: Formel mit \(/\|b_i\|^2\).<br>ONB: \(\Pi_U(v)=\sum\langle v,b_i\rangle b_i\).<br><i>(Kap. 7)</i>"
"<b>Transfer</b>: Aufgabe Abstand von \(v\) zum Unterraum \(U\). Strategie?";"ONB von \(U\) (Gram-Schmidt), \(\Pi_U(v)=\sum\langle v,b_i\rangle b_i\), dann \(\|v-\Pi_U(v)\|\).<br><i>(Kap. 7)</i>"
"<b>Transfer</b>: Wie berechnet man \(U^\perp\)?";"LGS \(\langle w,v_i\rangle=0\) für die Erzeuger \(v_i\) von \(U\) lösen.<br><i>(Kap. 7)</i>"
"<b>Verbindung</b>: Wozu dient \(V=U\oplus U^\perp\) im Spektralsatz-Beweis?";"Für den Induktionsschritt: Einschränkung von \(f\) auf \(U^\perp\) (Dimension sinkt um 1).<br><i>(Kap. 7)</i>"
"Wann heißt \(f\) <b>metrisch/isometrisch</b>?";"\(\langle f(v),f(v')\rangle=\langle v,v'\rangle\) für alle \(v,v'\). Euklidisch: orthogonal; unitär: unitär.<br><i>(Kap. 8)</i>"
"Was sind \(O_n(\mathbb{R})\) und \(U_n(\mathbb{C})\)?";"\(O_n(\mathbb{R})=\{A\mid A^{-1}=A^{\mathsf T}\}\), \(U_n(\mathbb{C})=\{A\mid A^{-1}=A^*=\bar A^{\mathsf T}\}\).<br><i>(Kap. 8)</i>"
"Was ist die <b>adjungierte Matrix</b> \(A^*\) bzw. Abbildung \(f^*\)?";"\(A^*=\bar A^{\mathsf T}\); \(f^*\) ist die eindeutige Abb. mit \(\langle f(v),w\rangle=\langle v,f^*(w)\rangle\).<br><i>(Kap. 8)</i>"
"Wann heißt \(f\) <b>selbstadjungiert</b>, wann <b>normal</b>?";"selbstadjungiert: \(f^*=f\) (\(A^*=A\)); normal: \(f\circ f^*=f^*\circ f\) (\(AA^*=A^*A\)).<br><i>(Kap. 8)</i>"
"<b>Motivation</b>: Welche Frage klärt der Spektralsatz?";"Welche Operatoren besitzen eine <b>orthonormale</b> Eigenbasis (perpendikuläre Hauptachsen)? Antwort: genau die normalen.<br><i>(Kap. 8)</i>"
"<b>Intuition</b>: Was ist die Adjungierte anschaulich?";"Der Spiegelpartner von \(f\) bzgl. des Skalarprodukts: \(\langle f(v),wangle=\langle v,f^*(w)angle\) schiebt \(f\) ins andere Argument.<br><i>(Kap. 8)</i>"
"<b>Intuition</b>: Was bedeutet normal anschaulich?";"\(f\) und \(f^*\) vertauschen (ziehen nicht gegeneinander) \(\Rightarrow\) es gibt \(\perp\) Achsen, die beide respektieren.<br><i>(Kap. 8)</i>"
"Lemma 8.5½ (<b>Yoga-Lemma</b>)?";"Bzgl. ONB: \(\langle f(v),f'(w)\rangle=x^{\mathsf T}A^{\mathsf T}\overline{A'}\,\bar y\); speziell \(\langle v,w\rangle=\sum x_i\overline{y_i}\).<br>Übersetzt Skalarprodukt in Matrixrechnung.<br><i>(Kap. 8)</i>"
"Satz: Existenz/Form der Adjungierten?";"\(f^*\) existiert eindeutig; bzgl. ONB ist ihre Matrix \(A^*=\bar A^{\mathsf T}\).<br><i>(Kap. 8)</i>"
"Rechenregeln für \(f^*\)?";"\((f+g)^*=f^*+g^*\), \((af)^*=\bar a f^*\), \((f^*)^*=f\), \((f\circ g)^*=g^*\circ f^*\).<br><i>(Kap. 8)</i>"
"Satz: <b>Charakterisierung von Isometrien</b>?";"Äquivalent: metrisch \(\Leftrightarrow\) längentreu \(\Leftrightarrow f^*=f^{-1}\) \(\Leftrightarrow\) bildet ONB auf ONB \(\Leftrightarrow A\in O_n/U_n\).<br><i>(Kap. 8)</i>"
"Eigenschaft: \(\det\) von Isometrien?";"Orthogonal: \(\det A\in\{\pm1\}\) (Drehung \(+1\), Spiegelung \(-1\)); unitär: \(|\det A|=1\).<br><i>(Kap. 8)</i>"
"Eigenschaft: selbstadjungiert / metrisch und normal?";"Beide \(\Rightarrow\) normal: selbstadj. \(ff^*=f^2=f^*f\); metrisch \(ff^*=f^*f=\mathrm{id}\).<br><i>(Kap. 8)</i>"
"Lemma: Invarianz-Übergang aufs Komplement?";"\(f(U)\subseteq U\Rightarrow f^*(U^\perp)\subseteq U^\perp\). Motor der Spektralsatz-Induktion.<br><i>(Kap. 8)</i>"
"Lemma 8.9½: Normalität und Norm?";"\(f\) normal \(\Leftrightarrow\|f^*(v)\|=\|f(v)\|\ \forall v\).<br><i>(Kap. 8)</i>"
"Lemma 8.10: Eigenräume von \(f\) und \(f^*\) (normal)?";"\(\mathrm{Eig}(f,\lambda)=\mathrm{Eig}(f^*,\bar\lambda)\); insbesondere \(\ker f=\ker f^*\).<br><i>(Kap. 8)</i>"
"<b>Kernidee</b>: Beweis \(\mathrm{Eig}(f,\lambda)=\mathrm{Eig}(f^*,\bar\lambda)\)?";"\(g=f-\lambda\,\mathrm{id}\) normal; Lemma 8.9½: \(\|g(v)\|=\|g^*(v)\|\), also \(g(v)=0\Leftrightarrow g^*(v)=0\).<br><i>(Kap. 8)</i>"
"<b>Unitärer Spektralsatz</b> (Satz 8.11)?";"\(f\) normal \(\Leftrightarrow\) es gibt eine ONB von \(V\) aus Eigenvektoren von \(f\). (\(V\) unitär, endlichdim.)<br><i>(Kap. 8)</i>"
"<b>Kernidee</b>: Beweis unitärer Spektralsatz?";"Induktion über \(\dim V\): Fundamentalsatz \(\Rightarrow\) EW \(\lambda\), Eigenvektor \(u\); Lemma 8.10 \(\Rightarrow u\) auch EV von \(f^*\); \(U^\perp\) \(f\)-invariant; \(f|_{U^\perp}\) normal, induzieren.<br><i>(Kap. 8)</i>"
"Satz 8.12 (Matrixversion)?";"\(A\) normal \(\Leftrightarrow\) ONB von \(\mathbb{C}^n\) aus Eigenvektoren \(\Leftrightarrow\exists\) unitäres \(S\) mit \(S^{-1}AS=S^*AS\) diagonal.<br><i>(Kap. 8)</i>"
"Satz 8.13: Eigenwerte von selbstadjungiert / isometrisch?";"selbstadjungiert \(\Leftrightarrow\) alle EW reell; isometrisch \(\Leftrightarrow\) alle EW haben Betrag \(1\).<br><i>(Kap. 8)</i>"
